Tail Number,Mode S Code,ICAO24
N823MA,52636424.0,ab3d14
N821SA,52633043.0,ab3623
N803F,52566577.0,aaed7f
N807JA,52576247.0,aafca7
N847MA,52715356.0,ab9aee
N208PK,50330412.0,a1b10a
N731LC,52347677.0,a9cfbf
N95SA,53231737.0,ad33df
N9642F,53266646.0,ad6da6
N839MA,52675335.0,ab7add
N732LC,52351566.0,a9d376
N808MA,52600251.0,ab00a9
N129CG,50072532.0,a0755a
N865MA,52761176.0,abe27e
N4118K,51155521.0,a4db51
N416TW,51166050.0,a4ec28
N856MA,52737266.0,abbeb6
N957SP,53250106.0,ad5046
N1258B,50064667.0,a069b7
N840MA,52700355.0,ab80ed
N852MA,52727732.0,abafda
N881SA,53021435.0,ac231d
N803JA,52566713.0,aaedcb
N750Z,52416110.0,aa1c48
N937CK,53177746.0,acffe6
N208BK,50327736.0,a1afde
N549PN,51575255.0,a6faad
N958SP,53251775.0,ad53fd
N1983X,50304272.0,a188ba
N828SA,52650044.0,ab5024
N857MA,52741155.0,abc26d
N950PA,53232755.0,ad35ed
N31SA,50643011.0,a34609
N835MA,52666001.0,ab6c01
N29MG,50572073.0,a2f43b
N494SA,51420205.0,a62085
N809JA,52602025.0,ab0415
N1154F,50040660.0,a041b0
N853SA,52732016.0,abb40e
N9481F,53226541.0,ad2d61
N874SA,53003303.0,ac06c3
N2150,50347155.0,a1ce6d
N493SA,51416316.0,a61cce
N809SA,52602335.0,ab04dd
N727SA,52337436.0,a9bf1e
